user_id,item_id,category,event_type,timestamp,price,user_age,device
U007,I0006,,cart,2024-01-01 00:30:02,715.0574291340605,-4,iphone
U015,I0006,,view,2024-01-01 00:30:02,244.87659662183208,84,  Android  
U011,I0006,服装,cart,2024-01-01 00:30:02,332.14570117767505,11,iPhone
U008,I0054,手机,view,2024-01-01 10:56:24,749.0264910668438,98,Huawei
U007,I0093,电脑,view,2024-01-01 13:07:34,653.1365700567425,27,iphone
U019,I0063,服装,view,2024-01-01 06:05:18,,3,  Android  
U011,I0018,服装,view,2024-01-01 23:53:01,,37,  Android  
U011,I0090,服装,cart,2024-01-01 16:51:53,,112,IPHONE
U004,I0044,电脑,view,2024-01-01 08:25:06,,42,Huawei
U008,I0034,服装,view,2024/01/01 04:37,,33,Xiaomi
U003,I0074,电脑,view,2024-01-01 13:00:43,,87,iPhone
U002,I0062,,view,2024/01/02 02:50,251.54974694529275,36,Xiaomi
U012,I0014,,cart,2024/01/02 01:12,973.2804492049211,113,Huawei
U006,I0095,美妆,purchase,2024-01-01 04:32:51,399.1667474200928,20,Huawei
U002,I0048,电脑,view,2024-01-01 21:29:31,893.1260896253422,93,Huawei
U001,I0015,电脑,购买,Invalid Time,634.8272397372903,44,Xiaomi
U012,I0072,手机,view,2024/01/01 08:46,796.863190506232,19,Huawei
U012,I0078,美妆,购买,2024-01-01 05:48:52,507.61072217414016,18,  Android  
U017,I0087,手机,view,2024-01-01 08:17:35,581.1348457800955,7,Xiaomi
U010,I0062,服装,view,2024-01-01 17:03:54,497.59251688067525,54,Huawei
U016,I0040,电脑,view,2024-01-01 20:11:34,203.29055792006406,116,  Android  
U015,I0085,,cart,2024-01-01 11:56:56,725.2275941088902,1,IPHONE
U015,I0080,服装,cart,2024-01-01 02:03:20,287.96463881644723,51,Huawei
U019,I0082,服装,cart,2024-01-01 11:50:42,34.0728067671393,30,Xiaomi
U012,I0053,服装,view,2024/01/01 04:12,649.0175729480961,39,iphone
U003,I0024,手机,cart,2024-01-01 14:16:47,185.33957261297846,14,Huawei
U005,I0026,服装,cart,2024-01-01 18:31:30,941.0539985093851,59,iphone
U019,I0089,服装,view,2024-01-01 01:14:59,954.3892912325615,2,  Android  
U007,I0060,电脑,view,2024-01-01 01:44:55,915.715746318244,104,IPHONE
U009,I0041,,view,2024-01-01 16:24:00,376.45711325288994,10,iPhone
U007,I0029,服装,VIEW,2024-01-01 03:23:03,25.302050363578754,8,IPHONE
U018,I0015,服装,view,2024/01/01 08:08,929.0353769618481,70,Huawei
U004,I0045,,购买,2024-01-01 03:34:34,433.9023068341412,109,iphone
U014,I0065,服装,view,2024/01/01 09:05,966.9882708532328,81,iphone
U018,I0089,电脑,VIEW,2024-01-01 01:32:19,963.9837773183604,9,Xiaomi
U009,I0071,手机,purchase,2024-01-01 14:49:11,854.4793609126865,86,iphone
U002,I0009,服装,view,2024-01-01 17:01:07,301.5044031488898,92,Xiaomi
U015,I0088,电脑,cart,2024-01-01 13:25:54,391.246751315906,60,  Android  
U007,I0001,服装,cart,2024-01-01 00:42:37,852.6253048016883,26,iPhone
U012,I0008,,VIEW,2024-01-01 10:39:20,323.75278510471486,81,Huawei
U008,I0088,电脑,view,2024-01-01 22:46:58,177.79781921923157,57,Xiaomi
U015,I0063,手机,view,2024-01-01 00:36:40,561.2332498337666,80,iPhone
U003,I0011,电脑,purchase,2024-01-01 19:01:37,936.7932264191732,45,iphone
U014,I0081,,VIEW,2024-01-01 13:02:55,699.0694987082233,19,iphone
U017,I0008,电脑,view,2024-01-01 05:55:57,574.3605583884713,52,iPhone
U004,I0035,服装,view,2024-01-01 21:31:45,106.20472883306086,57,iphone
U018,I0035,手机,购买,2024/01/01 00:47,618.857154432178,56,  Android  
U008,I0033,电脑,view,2024-01-01 16:58:55,990.1533116032207,119,  Android  
U004,I0005,电脑,cart,2024/01/01 13:55,148.6831750841588,16,iPhone
U002,I0041,手机,VIEW,2024/01/02 02:09,523.1463558400993,52,Xiaomi
